"Step","greedy - Jain_fairness_index","greedy - Jain_fairness_index__MIN","greedy - Jain_fairness_index__MAX"
"0","0.9090614886731392","0.9090614886731392","0.9090614886731392"
"1","0.25188141391106045","0.25188141391106045","0.25188141391106045"
"2","0.3580110497237569","0.3580110497237569","0.3580110497237569"
"3","0.2704","0.2704","0.2704"
"4","0.4092675635276532","0.4092675635276532","0.4092675635276532"
"5","0.4260504201680672","0.4260504201680672","0.4260504201680672"
"6","0.45202952029520294","0.45202952029520294","0.45202952029520294"
"7","0.3504807692307692","0.3504807692307692","0.3504807692307692"
"8","0.3190371991247265","0.3190371991247265","0.3190371991247265"
"9","0.3487912087912088","0.3487912087912088","0.3487912087912088"
"10","0.35856573705179284","0.35856573705179284","0.35856573705179284"
"11","0.3338099243061396","0.3338099243061396","0.3338099243061396"
"12","0.33424283765347884","0.33424283765347884","0.33424283765347884"
"13","0.3952380952380952","0.3952380952380952","0.3952380952380952"
"14","0.38906882591093117","0.38906882591093117","0.38906882591093117"
"15","0.5115616911130285","0.5115616911130285","0.5115616911130285"
"16","0.25094664371772807","0.25094664371772807","0.25094664371772807"
"17","0.4056","0.4056","0.4056"
"18","0.38597662771285474","0.38597662771285474","0.38597662771285474"
"19","0.4257796257796258","0.4257796257796258","0.4257796257796258"
"20","0.29254185692541856","0.29254185692541856","0.29254185692541856"
"21","0.3862891207153502","0.3862891207153502","0.3862891207153502"
"22","0.31934996220710504","0.31934996220710504","0.31934996220710504"
"23","0.3612881355932203","0.3612881355932203","0.3612881355932203"
"24","0.34385964912280703","0.34385964912280703","0.34385964912280703"
"25","0.4832347140039448","0.4832347140039448","0.4832347140039448"
"26","0.5172307692307693","0.5172307692307693","0.5172307692307693"
"27","0.3167608286252354","0.3167608286252354","0.3167608286252354"
"28","0.327027027027027","0.327027027027027","0.327027027027027"
"29","0.5314942528735632","0.5314942528735632","0.5314942528735632"
"30","0.4699266503667482","0.4699266503667482","0.4699266503667482"
"31","0.3454967502321263","0.3454967502321263","0.3454967502321263"
"32","0.4701881331403763","0.4701881331403763","0.4701881331403763"
"33","0.39571286141575274","0.39571286141575274","0.39571286141575274"
"34","0.4011049723756906","0.4011049723756906","0.4011049723756906"
"35","0.20574121679520138","0.20574121679520138","0.20574121679520138"
"36","0.30843373493975906","0.30843373493975906","0.30843373493975906"
"37","0.45090715048025615","0.45090715048025615","0.45090715048025615"
"38","0.3630167597765363","0.3630167597765363","0.3630167597765363"
"39","0.34462025316455697","0.34462025316455697","0.34462025316455697"
"40","0.34730195177956374","0.34730195177956374","0.34730195177956374"
"41","0.4164435946462715","0.4164435946462715","0.4164435946462715"
"42","0.42155388471177946","0.42155388471177946","0.42155388471177946"
"43","0.398443579766537","0.398443579766537","0.398443579766537"
"44","0.3524466750313676","0.3524466750313676","0.3524466750313676"
"45","0.3839299314546839","0.3839299314546839","0.3839299314546839"
"46","0.36172043010752686","0.36172043010752686","0.36172043010752686"
"47","0.4635652853792025","0.4635652853792025","0.4635652853792025"
"48","0.39002849002849005","0.39002849002849005","0.39002849002849005"
"49","0.2817593790426908","0.2817593790426908","0.2817593790426908"
"50","0.4578378378378378","0.4578378378378378","0.4578378378378378"
"51","0.3446625766871166","0.3446625766871166","0.3446625766871166"
"52","0.35654008438818563","0.35654008438818563","0.35654008438818563"
"53","0.3203809523809524","0.3203809523809524","0.3203809523809524"
"54","0.3301244269810085","0.3301244269810085","0.3301244269810085"
"55","0.3797752808988764","0.3797752808988764","0.3797752808988764"
"56","0.4413962635201573","0.4413962635201573","0.4413962635201573"
"57","0.44814814814814813","0.44814814814814813","0.44814814814814813"
"58","0.31769285208775655","0.31769285208775655","0.31769285208775655"
"59","0.343626448534424","0.343626448534424","0.343626448534424"
"60","0.3477079796264856","0.3477079796264856","0.3477079796264856"
"61","0.3435114503816794","0.3435114503816794","0.3435114503816794"
"62","0.32047043865225683","0.32047043865225683","0.32047043865225683"
"63","0.32050078247261343","0.32050078247261343","0.32050078247261343"
"64","0.3909502262443439","0.3909502262443439","0.3909502262443439"
"65","0.4268416596104996","0.4268416596104996","0.4268416596104996"
"66","0.3574447646493756","0.3574447646493756","0.3574447646493756"
"67","0.23752577319587628","0.23752577319587628","0.23752577319587628"
"68","0.42991735537190084","0.42991735537190084","0.42991735537190084"
"69","0.4644878048780488","0.4644878048780488","0.4644878048780488"
"70","0.3629032258064516","0.3629032258064516","0.3629032258064516"
"71","0.2578800557880056","0.2578800557880056","0.2578800557880056"
"72","0.3910233393177738","0.3910233393177738","0.3910233393177738"
"73","0.3851031321619557","0.3851031321619557","0.3851031321619557"
"74","0.3503127171646977","0.3503127171646977","0.3503127171646977"
"75","0.3748709122203098","0.3748709122203098","0.3748709122203098"
"76","0.28657894736842104","0.28657894736842104","0.28657894736842104"
"77","0.35395948434622465","0.35395948434622465","0.35395948434622465"
"78","0.36050069541029206","0.36050069541029206","0.36050069541029206"
"79","0.29861796643632776","0.29861796643632776","0.29861796643632776"
"80","0.32198757763975155","0.32198757763975155","0.32198757763975155"
"81","0.3138059701492537","0.3138059701492537","0.3138059701492537"
"82","0.31680876979293543","0.31680876979293543","0.31680876979293543"
"83","0.39319727891156464","0.39319727891156464","0.39319727891156464"
"84","0.3247104247104247","0.3247104247104247","0.3247104247104247"
"85","0.43417085427135677","0.43417085427135677","0.43417085427135677"
"86","0.33424283765347884","0.33424283765347884","0.33424283765347884"
"87","0.4583499667332003","0.4583499667332003","0.4583499667332003"
"88","0.3543252595155709","0.3543252595155709","0.3543252595155709"
"89","0.467381974248927","0.467381974248927","0.467381974248927"
"90","0.39089645587213345","0.39089645587213345","0.39089645587213345"
"91","0.2755661501787843","0.2755661501787843","0.2755661501787843"
"92","0.37555555555555553","0.37555555555555553","0.37555555555555553"
"93","0.30716723549488056","0.30716723549488056","0.30716723549488056"
"94","0.36464646464646466","0.36464646464646466","0.36464646464646466"
"95","0.38533333333333336","0.38533333333333336","0.38533333333333336"
"96","0.363","0.363","0.363"
"97","0.3395209580838323","0.3395209580838323","0.3395209580838323"
"98","0.3435114503816794","0.3435114503816794","0.3435114503816794"
"99","0.23703703703703705","0.23703703703703705","0.23703703703703705"
"100","0.3826771653543307","0.3826771653543307","0.3826771653543307"
"101","0.30339805825242716","0.30339805825242716","0.30339805825242716"
"102","0.4319622964867181","0.4319622964867181","0.4319622964867181"
"103","0.35850622406639004","0.35850622406639004","0.35850622406639004"
"104","0.3445387062566278","0.3445387062566278","0.3445387062566278"
"105","0.34844844844844847","0.34844844844844847","0.34844844844844847"
"106","0.3155844155844156","0.3155844155844156","0.3155844155844156"
"107","0.3041379310344828","0.3041379310344828","0.3041379310344828"
"108","0.36707787201233616","0.36707787201233616","0.36707787201233616"
"109","0.3716608594657375","0.3716608594657375","0.3716608594657375"
"110","0.38286852589641435","0.38286852589641435","0.38286852589641435"
"111","0.2803846153846154","0.2803846153846154","0.2803846153846154"
"112","0.39510373443983404","0.39510373443983404","0.39510373443983404"
"113","0.39752650176678445","0.39752650176678445","0.39752650176678445"
"114","0.303487358326068","0.303487358326068","0.303487358326068"
"115","0.4556802244039271","0.4556802244039271","0.4556802244039271"
"116","0.4870775347912525","0.4870775347912525","0.4870775347912525"
"117","0.39304703476482616","0.39304703476482616","0.39304703476482616"
"118","0.3655696202531646","0.3655696202531646","0.3655696202531646"
"119","0.38057553956834533","0.38057553956834533","0.38057553956834533"
"120","0.3292604501607717","0.3292604501607717","0.3292604501607717"
"121","0.3357380688124306","0.3357380688124306","0.3357380688124306"
"122","0.43350515463917527","0.43350515463917527","0.43350515463917527"
"123","0.32410714285714287","0.32410714285714287","0.32410714285714287"
"124","0.4938542581211589","0.4938542581211589","0.4938542581211589"
"125","0.3599793174767322","0.3599793174767322","0.3599793174767322"
"126","0.4718533201189296","0.4718533201189296","0.4718533201189296"
"127","0.35124324324324324","0.35124324324324324","0.35124324324324324"
"128","0.27620452310717797","0.27620452310717797","0.27620452310717797"
"129","0.2748928352725046","0.2748928352725046","0.2748928352725046"
"130","0.28227628149435274","0.28227628149435274","0.28227628149435274"
"131","0.4224967490247074","0.4224967490247074","0.4224967490247074"
"132","0.4022702702702703","0.4022702702702703","0.4022702702702703"
"133","0.3219047619047619","0.3219047619047619","0.3219047619047619"
"134","0.3626415094339623","0.3626415094339623","0.3626415094339623"
"135","0.35530179445350735","0.35530179445350735","0.35530179445350735"
"136","0.34513981358189083","0.34513981358189083","0.34513981358189083"
"137","0.43540252182347233","0.43540252182347233","0.43540252182347233"
"138","0.3939568345323741","0.3939568345323741","0.3939568345323741"
"139","0.3767123287671233","0.3767123287671233","0.3767123287671233"
"140","0.29265822784810125","0.29265822784810125","0.29265822784810125"
"141","0.394393741851369","0.394393741851369","0.394393741851369"
"142","0.31141868512110726","0.31141868512110726","0.31141868512110726"
"143","0.36049046321525885","0.36049046321525885","0.36049046321525885"
"144","0.30136674259681095","0.30136674259681095","0.30136674259681095"
"145","0.3291621327529924","0.3291621327529924","0.3291621327529924"
"146","0.3879310344827586","0.3879310344827586","0.3879310344827586"
"147","0.281508078994614","0.281508078994614","0.281508078994614"
"148","0.34889267461669504","0.34889267461669504","0.34889267461669504"
"149","0.32754010695187163","0.32754010695187163","0.32754010695187163"
"150","0.2872744539411206","0.2872744539411206","0.2872744539411206"
"151","0.27483660130718957","0.27483660130718957","0.27483660130718957"
"152","0.33019431988041853","0.33019431988041853","0.33019431988041853"
"153","0.28803986710963453","0.28803986710963453","0.28803986710963453"
"154","0.34268774703557314","0.34268774703557314","0.34268774703557314"
"155","0.40205128205128204","0.40205128205128204","0.40205128205128204"
"156","0.4125","0.4125","0.4125"
"157","0.3582392776523702","0.3582392776523702","0.3582392776523702"
"158","0.2578800557880056","0.2578800557880056","0.2578800557880056"
"159","0.3677110530896432","0.3677110530896432","0.3677110530896432"
"160","0.30223255813953487","0.30223255813953487","0.30223255813953487"
"161","0.29040871934604906","0.29040871934604906","0.29040871934604906"
"162","0.2820936639118457","0.2820936639118457","0.2820936639118457"
"163","0.32554680664916885","0.32554680664916885","0.32554680664916885"
"164","0.30446601941747575","0.30446601941747575","0.30446601941747575"
"165","0.37247247247247245","0.37247247247247245","0.37247247247247245"
"166","0.43039309683604987","0.43039309683604987","0.43039309683604987"
"167","0.38412698412698415","0.38412698412698415","0.38412698412698415"
"168","0.3360711261642676","0.3360711261642676","0.3360711261642676"
"169","0.3728900255754476","0.3728900255754476","0.3728900255754476"
"170","0.41273885350318473","0.41273885350318473","0.41273885350318473"
"171","0.3664819944598338","0.3664819944598338","0.3664819944598338"
"172","0.36449746926970356","0.36449746926970356","0.36449746926970356"
"173","0.3591880341880342","0.3591880341880342","0.3591880341880342"
"174","0.46943784639746633","0.46943784639746633","0.46943784639746633"
"175","0.2908368967623702","0.2908368967623702","0.2908368967623702"
"176","0.338813151563753","0.338813151563753","0.338813151563753"
"177","0.443042071197411","0.443042071197411","0.443042071197411"
"178","0.3920524017467249","0.3920524017467249","0.3920524017467249"
"179","0.33692722371967654","0.33692722371967654","0.33692722371967654"
"180","0.34404761904761905","0.34404761904761905","0.34404761904761905"
"181","0.255359394703657","0.255359394703657","0.255359394703657"
"182","0.35294117647058826","0.35294117647058826","0.35294117647058826"
"183","0.3265367316341829","0.3265367316341829","0.3265367316341829"
"184","0.24226110363391656","0.24226110363391656","0.24226110363391656"
"185","0.3687854710556186","0.3687854710556186","0.3687854710556186"
"186","0.4765765765765766","0.4765765765765766","0.4765765765765766"
"187","0.39708265802269044","0.39708265802269044","0.39708265802269044"
"188","0.4222953904045155","0.4222953904045155","0.4222953904045155"
"189","0.3052160953800298","0.3052160953800298","0.3052160953800298"
"190","0.41782608695652174","0.41782608695652174","0.41782608695652174"
"191","0.2911453320500481","0.2911453320500481","0.2911453320500481"
"192","0.41285714285714287","0.41285714285714287","0.41285714285714287"
"193","0.31086048454469506","0.31086048454469506","0.31086048454469506"
"194","0.4087824351297405","0.4087824351297405","0.4087824351297405"
"195","0.37422037422037424","0.37422037422037424","0.37422037422037424"
"196","0.2875739644970414","0.2875739644970414","0.2875739644970414"
"197","0.30962128966223135","0.30962128966223135","0.30962128966223135"
"198","0.39669811320754716","0.39669811320754716","0.39669811320754716"
"199","0.3153153153153153","0.3153153153153153","0.3153153153153153"