"Step","greedy - mean_reward","greedy - mean_reward__MIN","greedy - mean_reward__MAX"
"0","0.1332749777395602","0.1332749777395602","0.1332749777395602"
"1","0.21265179418490615","0.21265179418490615","0.21265179418490615"
"2","0.18374405200049101","0.18374405200049101","0.18374405200049101"
"3","0.22945202844591062","0.22945202844591062","0.22945202844591062"
"4","0.1429910919203922","0.1429910919203922","0.1429910919203922"
"5","0.11855431967680889","0.11855431967680889","0.11855431967680889"
"6","0.11919990576982677","0.11919990576982677","0.11919990576982677"
"7","0.13967006922404474","0.13967006922404474","0.13967006922404474"
"8","0.152386772305819","0.152386772305819","0.152386772305819"
"9","0.14944120012325815","0.14944120012325815","0.14944120012325815"
"10","0.15181067358698525","0.15181067358698525","0.15181067358698525"
"11","0.16726918336444546","0.16726918336444546","0.16726918336444546"
"12","0.14408806832755827","0.14408806832755827","0.14408806832755827"
"13","0.15191826492612187","0.15191826492612187","0.15191826492612187"
"14","0.153538817990756","0.153538817990756","0.153538817990756"
"15","0.12601058697109868","0.12601058697109868","0.12601058697109868"
"16","0.2072696996742279","0.2072696996742279","0.2072696996742279"
"17","0.12591378945038073","0.12591378945038073","0.12591378945038073"
"18","0.16488514872133453","0.16488514872133453","0.16488514872133453"
"19","0.1803854594158587","0.1803854594158587","0.1803854594158587"
"20","0.14770343333849997","0.14770343333849997","0.14770343333849997"
"21","0.1369169458714162","0.1369169458714162","0.1369169458714162"
"22","0.19207919985922564","0.19207919985922564","0.19207919985922564"
"23","0.13397479431200449","0.13397479431200449","0.13397479431200449"
"24","0.18418149748196125","0.18418149748196125","0.18418149748196125"
"25","0.16381777672654477","0.16381777672654477","0.16381777672654477"
"26","0.13495470613659152","0.13495470613659152","0.13495470613659152"
"27","0.18160449688609226","0.18160449688609226","0.18160449688609226"
"28","0.17445843536214709","0.17445843536214709","0.17445843536214709"
"29","0.1492998693486042","0.1492998693486042","0.1492998693486042"
"30","0.17500358455800857","0.17500358455800857","0.17500358455800857"
"31","0.1469893070931411","0.1469893070931411","0.1469893070931411"
"32","0.10871837172275436","0.10871837172275436","0.10871837172275436"
"33","0.14436992863915493","0.14436992863915493","0.14436992863915493"
"34","0.1311886629801707","0.1311886629801707","0.1311886629801707"
"35","0.18350452862949967","0.18350452862949967","0.18350452862949967"
"36","0.22683989103373714","0.22683989103373714","0.22683989103373714"
"37","0.12484167098434308","0.12484167098434308","0.12484167098434308"
"38","0.15260894551745657","0.15260894551745657","0.15260894551745657"
"39","0.17489285885509642","0.17489285885509642","0.17489285885509642"
"40","0.15806816845853372","0.15806816845853372","0.15806816845853372"
"41","0.1489658450617841","0.1489658450617841","0.1489658450617841"
"42","0.1706949898494251","0.1706949898494251","0.1706949898494251"
"43","0.18085828098632897","0.18085828098632897","0.18085828098632897"
"44","0.16880365544716422","0.16880365544716422","0.16880365544716422"
"45","0.18630209845929924","0.18630209845929924","0.18630209845929924"
"46","0.17380106809232762","0.17380106809232762","0.17380106809232762"
"47","0.1001289077610321","0.1001289077610321","0.1001289077610321"
"48","0.10987365069943619","0.10987365069943619","0.10987365069943619"
"49","0.17223503317950406","0.17223503317950406","0.17223503317950406"
"50","0.11066429930018064","0.11066429930018064","0.11066429930018064"
"51","0.15033558432381974","0.15033558432381974","0.15033558432381974"
"52","0.19712258322831322","0.19712258322831322","0.19712258322831322"
"53","0.1491950154360009","0.1491950154360009","0.1491950154360009"
"54","0.16387724617947846","0.16387724617947846","0.16387724617947846"
"55","0.16057164028115398","0.16057164028115398","0.16057164028115398"
"56","0.1377884041922003","0.1377884041922003","0.1377884041922003"
"57","0.13997341196043953","0.13997341196043953","0.13997341196043953"
"58","0.13440421674729536","0.13440421674729536","0.13440421674729536"
"59","0.11986769226447676","0.11986769226447676","0.11986769226447676"
"60","0.16350795154887476","0.16350795154887476","0.16350795154887476"
"61","0.14404971434927594","0.14404971434927594","0.14404971434927594"
"62","0.17589683753663252","0.17589683753663252","0.17589683753663252"
"63","0.18465307436887368","0.18465307436887368","0.18465307436887368"
"64","0.16827842000059887","0.16827842000059887","0.16827842000059887"
"65","0.1287809252552238","0.1287809252552238","0.1287809252552238"
"66","0.14848455840286306","0.14848455840286306","0.14848455840286306"
"67","0.21282183912201338","0.21282183912201338","0.21282183912201338"
"68","0.1620615824387424","0.1620615824387424","0.1620615824387424"
"69","0.1440465712602195","0.1440465712602195","0.1440465712602195"
"70","0.14406443343529293","0.14406443343529293","0.14406443343529293"
"71","0.1549588301410033","0.1549588301410033","0.1549588301410033"
"72","0.1598609539145936","0.1598609539145936","0.1598609539145936"
"73","0.14433425983599796","0.14433425983599796","0.14433425983599796"
"74","0.12588732591746968","0.12588732591746968","0.12588732591746968"
"75","0.1624410117154292","0.1624410117154292","0.1624410117154292"
"76","0.1681716829399157","0.1681716829399157","0.1681716829399157"
"77","0.16818821292006272","0.16818821292006272","0.16818821292006272"
"78","0.1210897079486938","0.1210897079486938","0.1210897079486938"
"79","0.20472116640372898","0.20472116640372898","0.20472116640372898"
"80","0.17594491129152268","0.17594491129152268","0.17594491129152268"
"81","0.14810151570326505","0.14810151570326505","0.14810151570326505"
"82","0.1449373174960626","0.1449373174960626","0.1449373174960626"
"83","0.14357551081242834","0.14357551081242834","0.14357551081242834"
"84","0.19518603603360768","0.19518603603360768","0.19518603603360768"
"85","0.12001987058240451","0.12001987058240451","0.12001987058240451"
"86","0.14067212203048735","0.14067212203048735","0.14067212203048735"
"87","0.1698885069968922","0.1698885069968922","0.1698885069968922"
"88","0.15318383446314693","0.15318383446314693","0.15318383446314693"
"89","0.12906461917859824","0.12906461917859824","0.12906461917859824"
"90","0.14051267361848221","0.14051267361848221","0.14051267361848221"
"91","0.18205543647829853","0.18205543647829853","0.18205543647829853"
"92","0.1552936822928654","0.1552936822928654","0.1552936822928654"
"93","0.15788853272275205","0.15788853272275205","0.15788853272275205"
"94","0.1533359478291621","0.1533359478291621","0.1533359478291621"
"95","0.1439039838680167","0.1439039838680167","0.1439039838680167"
"96","0.19315303266686976","0.19315303266686976","0.19315303266686976"
"97","0.17632326307798415","0.17632326307798415","0.17632326307798415"
"98","0.18745451049203204","0.18745451049203204","0.18745451049203204"
"99","0.2173124445230589","0.2173124445230589","0.2173124445230589"
"100","0.1773015866037131","0.1773015866037131","0.1773015866037131"
"101","0.20720324504187407","0.20720324504187407","0.20720324504187407"
"102","0.1359799379664715","0.1359799379664715","0.1359799379664715"
"103","0.15608347981394088","0.15608347981394088","0.15608347981394088"
"104","0.15742175856741644","0.15742175856741644","0.15742175856741644"
"105","0.17607185480712106","0.17607185480712106","0.17607185480712106"
"106","0.17725793567332418","0.17725793567332418","0.17725793567332418"
"107","0.17256619982743657","0.17256619982743657","0.17256619982743657"
"108","0.1595943920717603","0.1595943920717603","0.1595943920717603"
"109","0.1535810868923034","0.1535810868923034","0.1535810868923034"
"110","0.11772154422608291","0.11772154422608291","0.11772154422608291"
"111","0.1679754943635405","0.1679754943635405","0.1679754943635405"
"112","0.15787736773247366","0.15787736773247366","0.15787736773247366"
"113","0.12028194084212629","0.12028194084212629","0.12028194084212629"
"114","0.17449320095424378","0.17449320095424378","0.17449320095424378"
"115","0.16671126933899935","0.16671126933899935","0.16671126933899935"
"116","0.1595459042154884","0.1595459042154884","0.1595459042154884"
"117","0.13965861895724382","0.13965861895724382","0.13965861895724382"
"118","0.14422431221362464","0.14422431221362464","0.14422431221362464"
"119","0.15914287885317743","0.15914287885317743","0.15914287885317743"
"120","0.1691643239394044","0.1691643239394044","0.1691643239394044"
"121","0.18973385612329044","0.18973385612329044","0.18973385612329044"
"122","0.13280509306145535","0.13280509306145535","0.13280509306145535"
"123","0.14655253834741347","0.14655253834741347","0.14655253834741347"
"124","0.1282976572134728","0.1282976572134728","0.1282976572134728"
"125","0.1296693929044475","0.1296693929044475","0.1296693929044475"
"126","0.1179993867747591","0.1179993867747591","0.1179993867747591"
"127","0.1839095581010708","0.1839095581010708","0.1839095581010708"
"128","0.1722770574903398","0.1722770574903398","0.1722770574903398"
"129","0.17888488368856664","0.17888488368856664","0.17888488368856664"
"130","0.17843033470314254","0.17843033470314254","0.17843033470314254"
"131","0.17252722292672304","0.17252722292672304","0.17252722292672304"
"132","0.16742126007145383","0.16742126007145383","0.16742126007145383"
"133","0.17339816027356575","0.17339816027356575","0.17339816027356575"
"134","0.1736383118582662","0.1736383118582662","0.1736383118582662"
"135","0.1693201721173325","0.1693201721173325","0.1693201721173325"
"136","0.13188803481459976","0.13188803481459976","0.13188803481459976"
"137","0.15285838791364378","0.15285838791364378","0.15285838791364378"
"138","0.16106827545267785","0.16106827545267785","0.16106827545267785"
"139","0.1696886791198655","0.1696886791198655","0.1696886791198655"
"140","0.19113285665385885","0.19113285665385885","0.19113285665385885"
"141","0.14987081827412876","0.14987081827412876","0.14987081827412876"
"142","0.19427174524777271","0.19427174524777271","0.19427174524777271"
"143","0.16523857413067403","0.16523857413067403","0.16523857413067403"
"144","0.18201408366380045","0.18201408366380045","0.18201408366380045"
"145","0.17277701824018993","0.17277701824018993","0.17277701824018993"
"146","0.14146728354539911","0.14146728354539911","0.14146728354539911"
"147","0.16424416184645393","0.16424416184645393","0.16424416184645393"
"148","0.14489431042247128","0.14489431042247128","0.14489431042247128"
"149","0.12766606285624715","0.12766606285624715","0.12766606285624715"
"150","0.1863580818041743","0.1863580818041743","0.1863580818041743"
"151","0.19538055949522293","0.19538055949522293","0.19538055949522293"
"152","0.1744089646988636","0.1744089646988636","0.1744089646988636"
"153","0.1916948038288617","0.1916948038288617","0.1916948038288617"
"154","0.2037876106916936","0.2037876106916936","0.2037876106916936"
"155","0.14920480209038","0.14920480209038","0.14920480209038"
"156","0.12837626500755972","0.12837626500755972","0.12837626500755972"
"157","0.1409186243586745","0.1409186243586745","0.1409186243586745"
"158","0.17502323736017206","0.17502323736017206","0.17502323736017206"
"159","0.14232819212616288","0.14232819212616288","0.14232819212616288"
"160","0.15849707793735454","0.15849707793735454","0.15849707793735454"
"161","0.18168438328733605","0.18168438328733605","0.18168438328733605"
"162","0.19956790402065416","0.19956790402065416","0.19956790402065416"
"163","0.22616303522417489","0.22616303522417489","0.22616303522417489"
"164","0.19149458547971407","0.19149458547971407","0.19149458547971407"
"165","0.15500218386744807","0.15500218386744807","0.15500218386744807"
"166","0.151544953790485","0.151544953790485","0.151544953790485"
"167","0.1391523410820649","0.1391523410820649","0.1391523410820649"
"168","0.16572582257688592","0.16572582257688592","0.16572582257688592"
"169","0.19195505707297086","0.19195505707297086","0.19195505707297086"
"170","0.11037591469455386","0.11037591469455386","0.11037591469455386"
"171","0.14996420019299792","0.14996420019299792","0.14996420019299792"
"172","0.139644898760968","0.139644898760968","0.139644898760968"
"173","0.13298347734632518","0.13298347734632518","0.13298347734632518"
"174","0.14325500221796325","0.14325500221796325","0.14325500221796325"
"175","0.17373561941284416","0.17373561941284416","0.17373561941284416"
"176","0.1575749217743984","0.1575749217743984","0.1575749217743984"
"177","0.1266829325951837","0.1266829325951837","0.1266829325951837"
"178","0.12810083193494126","0.12810083193494126","0.12810083193494126"
"179","0.15009507628359928","0.15009507628359928","0.15009507628359928"
"180","0.1461963628116189","0.1461963628116189","0.1461963628116189"
"181","0.211910437783957","0.211910437783957","0.211910437783957"
"182","0.17519021348017863","0.17519021348017863","0.17519021348017863"
"183","0.181765378409064","0.181765378409064","0.181765378409064"
"184","0.1897800459957625","0.1897800459957625","0.1897800459957625"
"185","0.1711017233855755","0.1711017233855755","0.1711017233855755"
"186","0.12776188473966704","0.12776188473966704","0.12776188473966704"
"187","0.13901656568963722","0.13901656568963722","0.13901656568963722"
"188","0.1515979884894702","0.1515979884894702","0.1515979884894702"
"189","0.1172068714953632","0.1172068714953632","0.1172068714953632"
"190","0.1815867619843062","0.1815867619843062","0.1815867619843062"
"191","0.17585052646233673","0.17585052646233673","0.17585052646233673"
"192","0.11634332980401066","0.11634332980401066","0.11634332980401066"
"193","0.16415989600009864","0.16415989600009864","0.16415989600009864"
"194","0.13972135171462896","0.13972135171462896","0.13972135171462896"
"195","0.15216622481415573","0.15216622481415573","0.15216622481415573"
"196","0.17826714405395966","0.17826714405395966","0.17826714405395966"
"197","0.18658466175731567","0.18658466175731567","0.18658466175731567"
"198","0.1677617705463252","0.1677617705463252","0.1677617705463252"
"199","0.0840392845106164","0.0840392845106164","0.0840392845106164"