"Step","greedy 5 5  - returns","greedy 5 5  - returns__MIN","greedy 5 5  - returns__MAX"
"0","-1.6360399723052979","-1.6360399723052979","-1.6360399723052979"
"1","-2.639570951461792","-2.639570951461792","-2.639570951461792"
"2","-2.5736286640167236","-2.5736286640167236","-2.5736286640167236"
"3","-2.608837604522705","-2.608837604522705","-2.608837604522705"
"4","-0.6541758179664612","-0.6541758179664612","-0.6541758179664612"
"5","-0.03008270263671875","-0.03008270263671875","-0.03008270263671875"
"6","-0.0499391108751297","-0.0499391108751297","-0.0499391108751297"
"7","1.0171914100646973","1.0171914100646973","1.0171914100646973"
"8","1.3332128524780273","1.3332128524780273","1.3332128524780273"
"9","-2.7160520553588867","-2.7160520553588867","-2.7160520553588867"
"10","-0.4112366735935211","-0.4112366735935211","-0.4112366735935211"
"11","-1.464617133140564","-1.464617133140564","-1.464617133140564"
"12","-3.5630075931549072","-3.5630075931549072","-3.5630075931549072"
"13","-1.5686107873916626","-1.5686107873916626","-1.5686107873916626"
"14","-3.8610377311706543","-3.8610377311706543","-3.8610377311706543"
"15","-2.5176756381988525","-2.5176756381988525","-2.5176756381988525"
"16","0.6865026354789734","0.6865026354789734","0.6865026354789734"
"17","0.4569808542728424","0.4569808542728424","0.4569808542728424"
"18","-2.3370165824890137","-2.3370165824890137","-2.3370165824890137"
"19","-0.42700526118278503","-0.42700526118278503","-0.42700526118278503"
"20","-1.2486956119537354","-1.2486956119537354","-1.2486956119537354"
"21","-1.800492763519287","-1.800492763519287","-1.800492763519287"
"22","-0.11391690373420715","-0.11391690373420715","-0.11391690373420715"
"23","-1.1730390787124634","-1.1730390787124634","-1.1730390787124634"
"24","-0.012419091537594795","-0.012419091537594795","-0.012419091537594795"
"25","-1.6076807975769043","-1.6076807975769043","-1.6076807975769043"
"26","-1.6453336477279663","-1.6453336477279663","-1.6453336477279663"
"27","-1.972841501235962","-1.972841501235962","-1.972841501235962"
"28","-3.083057403564453","-3.083057403564453","-3.083057403564453"
"29","-1.5292085409164429","-1.5292085409164429","-1.5292085409164429"
"30","-2.2561323642730713","-2.2561323642730713","-2.2561323642730713"
"31","-1.4984478950500488","-1.4984478950500488","-1.4984478950500488"
"32","0.6868922710418701","0.6868922710418701","0.6868922710418701"
"33","-1.0642552375793457","-1.0642552375793457","-1.0642552375793457"
"34","-2.3499624729156494","-2.3499624729156494","-2.3499624729156494"
"35","0.7665956020355225","0.7665956020355225","0.7665956020355225"
"36","-3.0992178916931152","-3.0992178916931152","-3.0992178916931152"
"37","-0.8289110660552979","-0.8289110660552979","-0.8289110660552979"
"38","-1.3015475273132324","-1.3015475273132324","-1.3015475273132324"
"39","-0.2951343059539795","-0.2951343059539795","-0.2951343059539795"
"40","-0.8142057657241821","-0.8142057657241821","-0.8142057657241821"
"41","-2.534877300262451","-2.534877300262451","-2.534877300262451"
"42","-3.3328988552093506","-3.3328988552093506","-3.3328988552093506"
"43","0.9717553853988647","0.9717553853988647","0.9717553853988647"
"44","-1.2585251331329346","-1.2585251331329346","-1.2585251331329346"
"45","0.40997976064682007","0.40997976064682007","0.40997976064682007"
"46","-4.882270336151123","-4.882270336151123","-4.882270336151123"
"47","-0.49116069078445435","-0.49116069078445435","-0.49116069078445435"
"48","-0.6963930130004883","-0.6963930130004883","-0.6963930130004883"
"49","-2.0168888568878174","-2.0168888568878174","-2.0168888568878174"
"50","1.6258080005645752","1.6258080005645752","1.6258080005645752"
"51","0.9026973843574524","0.9026973843574524","0.9026973843574524"
"52","-1.5002819299697876","-1.5002819299697876","-1.5002819299697876"
"53","-2.6388001441955566","-2.6388001441955566","-2.6388001441955566"
"54","-3.3055222034454346","-3.3055222034454346","-3.3055222034454346"
"55","-2.3040730953216553","-2.3040730953216553","-2.3040730953216553"
"56","-4.819161891937256","-4.819161891937256","-4.819161891937256"
"57","-2.394167900085449","-2.394167900085449","-2.394167900085449"
"58","0.4108400344848633","0.4108400344848633","0.4108400344848633"
"59","-0.7685317993164062","-0.7685317993164062","-0.7685317993164062"
"60","-1.6051186323165894","-1.6051186323165894","-1.6051186323165894"
"61","-2.3467793464660645","-2.3467793464660645","-2.3467793464660645"
"62","0.6362431645393372","0.6362431645393372","0.6362431645393372"
"63","-1.3439711332321167","-1.3439711332321167","-1.3439711332321167"
"64","-1.7768323421478271","-1.7768323421478271","-1.7768323421478271"
"65","-2.4164435863494873","-2.4164435863494873","-2.4164435863494873"
"66","-0.902851939201355","-0.902851939201355","-0.902851939201355"
"67","-0.9335488080978394","-0.9335488080978394","-0.9335488080978394"
"68","-0.8440600633621216","-0.8440600633621216","-0.8440600633621216"
"69","-1.487717628479004","-1.487717628479004","-1.487717628479004"
"70","0.00047269463539123535","0.00047269463539123535","0.00047269463539123535"
"71","-2.649261474609375","-2.649261474609375","-2.649261474609375"
"72","-1.1366558074951172","-1.1366558074951172","-1.1366558074951172"
"73","-3.609805107116699","-3.609805107116699","-3.609805107116699"
"74","-2.244913339614868","-2.244913339614868","-2.244913339614868"
"75","-2.1278486251831055","-2.1278486251831055","-2.1278486251831055"
"76","-2.7156646251678467","-2.7156646251678467","-2.7156646251678467"
"77","-3.6710338592529297","-3.6710338592529297","-3.6710338592529297"
"78","-1.1252901554107666","-1.1252901554107666","-1.1252901554107666"
"79","-1.2623016834259033","-1.2623016834259033","-1.2623016834259033"
"80","-3.4144601821899414","-3.4144601821899414","-3.4144601821899414"
"81","-2.083603858947754","-2.083603858947754","-2.083603858947754"
"82","-1.1422556638717651","-1.1422556638717651","-1.1422556638717651"
"83","-1.4731885194778442","-1.4731885194778442","-1.4731885194778442"
"84","-2.7756946086883545","-2.7756946086883545","-2.7756946086883545"
"85","-0.31888923048973083","-0.31888923048973083","-0.31888923048973083"
"86","-2.8114707469940186","-2.8114707469940186","-2.8114707469940186"
"87","-1.9335144758224487","-1.9335144758224487","-1.9335144758224487"
"88","-1.9938627481460571","-1.9938627481460571","-1.9938627481460571"
"89","-2.0238242149353027","-2.0238242149353027","-2.0238242149353027"
"90","-1.6720449924468994","-1.6720449924468994","-1.6720449924468994"
"91","-1.01324462890625","-1.01324462890625","-1.01324462890625"
"92","-0.9055203199386597","-0.9055203199386597","-0.9055203199386597"
"93","-2.3519108295440674","-2.3519108295440674","-2.3519108295440674"
"94","-0.700580894947052","-0.700580894947052","-0.700580894947052"
"95","-2.8554847240448","-2.8554847240448","-2.8554847240448"
"96","-1.7991973161697388","-1.7991973161697388","-1.7991973161697388"
"97","-1.5908215045928955","-1.5908215045928955","-1.5908215045928955"
"98","-1.6530780792236328","-1.6530780792236328","-1.6530780792236328"
"99","-0.8933038711547852","-0.8933038711547852","-0.8933038711547852"
"100","-2.7209584712982178","-2.7209584712982178","-2.7209584712982178"
"101","1.8144526481628418","1.8144526481628418","1.8144526481628418"
"102","-0.7108814716339111","-0.7108814716339111","-0.7108814716339111"
"103","-2.3387134075164795","-2.3387134075164795","-2.3387134075164795"
"104","-2.6628692150115967","-2.6628692150115967","-2.6628692150115967"
"105","-2.5980045795440674","-2.5980045795440674","-2.5980045795440674"
"106","-1.6689127683639526","-1.6689127683639526","-1.6689127683639526"
"107","-0.1350560188293457","-0.1350560188293457","-0.1350560188293457"
"108","-0.9949641227722168","-0.9949641227722168","-0.9949641227722168"
"109","1.217430591583252","1.217430591583252","1.217430591583252"
"110","0.665022611618042","0.665022611618042","0.665022611618042"
"111","-1.3637592792510986","-1.3637592792510986","-1.3637592792510986"
"112","-3.7844061851501465","-3.7844061851501465","-3.7844061851501465"
"113","-3.3874850273132324","-3.3874850273132324","-3.3874850273132324"
"114","0.17873609066009521","0.17873609066009521","0.17873609066009521"
"115","-0.4459478259086609","-0.4459478259086609","-0.4459478259086609"
"116","-3.658785343170166","-3.658785343170166","-3.658785343170166"
"117","-0.34482547640800476","-0.34482547640800476","-0.34482547640800476"
"118","0.6380314826965332","0.6380314826965332","0.6380314826965332"
"119","-0.7208715677261353","-0.7208715677261353","-0.7208715677261353"
"120","0.9968796372413635","0.9968796372413635","0.9968796372413635"
"121","-2.1762609481811523","-2.1762609481811523","-2.1762609481811523"
"122","-2.8964931964874268","-2.8964931964874268","-2.8964931964874268"
"123","-0.296894907951355","-0.296894907951355","-0.296894907951355"
"124","0.0272197462618351","0.0272197462618351","0.0272197462618351"
"125","1.600064992904663","1.600064992904663","1.600064992904663"
"126","-2.0301990509033203","-2.0301990509033203","-2.0301990509033203"
"127","0.14595627784729004","0.14595627784729004","0.14595627784729004"
"128","-0.2345442920923233","-0.2345442920923233","-0.2345442920923233"
"129","0.20834237337112427","0.20834237337112427","0.20834237337112427"
"130","-1.161487340927124","-1.161487340927124","-1.161487340927124"
"131","-0.7528521418571472","-0.7528521418571472","-0.7528521418571472"
"132","-0.8827649354934692","-0.8827649354934692","-0.8827649354934692"
"133","-1.400742530822754","-1.400742530822754","-1.400742530822754"
"134","-2.2490134239196777","-2.2490134239196777","-2.2490134239196777"
"135","-1.293372392654419","-1.293372392654419","-1.293372392654419"
"136","-3.353947877883911","-3.353947877883911","-3.353947877883911"
"137","0.4473856985569","0.4473856985569","0.4473856985569"
"138","-3.1168437004089355","-3.1168437004089355","-3.1168437004089355"
"139","-1.466965675354004","-1.466965675354004","-1.466965675354004"
"140","0.10456783324480057","0.10456783324480057","0.10456783324480057"
"141","-1.3131740093231201","-1.3131740093231201","-1.3131740093231201"
"142","-2.7690672874450684","-2.7690672874450684","-2.7690672874450684"
"143","0.06985102593898773","0.06985102593898773","0.06985102593898773"
"144","-1.413071632385254","-1.413071632385254","-1.413071632385254"
"145","-1.9514065980911255","-1.9514065980911255","-1.9514065980911255"
"146","-3.6519131660461426","-3.6519131660461426","-3.6519131660461426"
"147","-1.7691408395767212","-1.7691408395767212","-1.7691408395767212"
"148","-1.9288945198059082","-1.9288945198059082","-1.9288945198059082"
"149","-1.6107172966003418","-1.6107172966003418","-1.6107172966003418"
"150","-4.431870460510254","-4.431870460510254","-4.431870460510254"
"151","0.0065302252769470215","0.0065302252769470215","0.0065302252769470215"
"152","-3.633282423019409","-3.633282423019409","-3.633282423019409"
"153","-2.3838722705841064","-2.3838722705841064","-2.3838722705841064"
"154","-3.258521556854248","-3.258521556854248","-3.258521556854248"
"155","-0.993866503238678","-0.993866503238678","-0.993866503238678"
"156","-0.6334335803985596","-0.6334335803985596","-0.6334335803985596"
"157","-1.879581093788147","-1.879581093788147","-1.879581093788147"
"158","-1.991455316543579","-1.991455316543579","-1.991455316543579"
"159","-3.5406980514526367","-3.5406980514526367","-3.5406980514526367"
"160","0.3348434269428253","0.3348434269428253","0.3348434269428253"
"161","-0.4925621449947357","-0.4925621449947357","-0.4925621449947357"
"162","-2.928015947341919","-2.928015947341919","-2.928015947341919"
"163","0.14160361886024475","0.14160361886024475","0.14160361886024475"
"164","-4.18287467956543","-4.18287467956543","-4.18287467956543"
"165","-2.7615914344787598","-2.7615914344787598","-2.7615914344787598"
"166","-4.082702159881592","-4.082702159881592","-4.082702159881592"
"167","-1.2327179908752441","-1.2327179908752441","-1.2327179908752441"
"168","-3.028090238571167","-3.028090238571167","-3.028090238571167"
"169","-1.548785924911499","-1.548785924911499","-1.548785924911499"
"170","-2.236638069152832","-2.236638069152832","-2.236638069152832"
"171","-3.6629977226257324","-3.6629977226257324","-3.6629977226257324"
"172","-0.974353551864624","-0.974353551864624","-0.974353551864624"
"173","0.42981404066085815","0.42981404066085815","0.42981404066085815"
"174","-1.555271863937378","-1.555271863937378","-1.555271863937378"
"175","0.1054520457983017","0.1054520457983017","0.1054520457983017"
"176","-1.4047338962554932","-1.4047338962554932","-1.4047338962554932"
"177","-2.296143054962158","-2.296143054962158","-2.296143054962158"
"178","2.343290328979492","2.343290328979492","2.343290328979492"
"179","0.006932169198989868","0.006932169198989868","0.006932169198989868"
"180","-1.2650258541107178","-1.2650258541107178","-1.2650258541107178"
"181","-0.32254108786582947","-0.32254108786582947","-0.32254108786582947"
"182","-0.7421181201934814","-0.7421181201934814","-0.7421181201934814"
"183","-0.5897790193557739","-0.5897790193557739","-0.5897790193557739"
"184","-1.0746326446533203","-1.0746326446533203","-1.0746326446533203"
"185","1.2611501216888428","1.2611501216888428","1.2611501216888428"
"186","-3.173085927963257","-3.173085927963257","-3.173085927963257"
"187","-0.7275904417037964","-0.7275904417037964","-0.7275904417037964"
"188","-3.531996965408325","-3.531996965408325","-3.531996965408325"
"189","-3.8048951625823975","-3.8048951625823975","-3.8048951625823975"
"190","-1.9718865156173706","-1.9718865156173706","-1.9718865156173706"
"191","-2.4000115394592285","-2.4000115394592285","-2.4000115394592285"
"192","-1.5696920156478882","-1.5696920156478882","-1.5696920156478882"
"193","-3.744129180908203","-3.744129180908203","-3.744129180908203"
"194","-2.8652331829071045","-2.8652331829071045","-2.8652331829071045"
"195","-2.534130573272705","-2.534130573272705","-2.534130573272705"
"196","-4.263537406921387","-4.263537406921387","-4.263537406921387"
"197","-2.0561423301696777","-2.0561423301696777","-2.0561423301696777"
"198","-3.058617353439331","-3.058617353439331","-3.058617353439331"
"199","-4.946956634521484","-4.946956634521484","-4.946956634521484"
"200","1.1935694217681885","1.1935694217681885","1.1935694217681885"
"201","0.8751182556152344","0.8751182556152344","0.8751182556152344"
"202","0.40964779257774353","0.40964779257774353","0.40964779257774353"
"203","0.5828588604927063","0.5828588604927063","0.5828588604927063"
"204","-1.8416874408721924","-1.8416874408721924","-1.8416874408721924"
"205","0.08707194030284882","0.08707194030284882","0.08707194030284882"
"206","-0.4322102665901184","-0.4322102665901184","-0.4322102665901184"
"207","0.7192875146865845","0.7192875146865845","0.7192875146865845"
"208","-0.3896805942058563","-0.3896805942058563","-0.3896805942058563"
"209","-1.063143253326416","-1.063143253326416","-1.063143253326416"
"210","-0.7402518391609192","-0.7402518391609192","-0.7402518391609192"
"211","0.6817456483840942","0.6817456483840942","0.6817456483840942"
"212","0.28711724281311035","0.28711724281311035","0.28711724281311035"
"213","-0.22568364441394806","-0.22568364441394806","-0.22568364441394806"
"214","-1.0513502359390259","-1.0513502359390259","-1.0513502359390259"
"215","-0.2643141746520996","-0.2643141746520996","-0.2643141746520996"
"216","-0.7929607629776001","-0.7929607629776001","-0.7929607629776001"
"217","0.8044848442077637","0.8044848442077637","0.8044848442077637"
"218","-0.1697041094303131","-0.1697041094303131","-0.1697041094303131"
"219","0.25907617807388306","0.25907617807388306","0.25907617807388306"
"220","-0.39737117290496826","-0.39737117290496826","-0.39737117290496826"
"221","-0.37119653820991516","-0.37119653820991516","-0.37119653820991516"
"222","0.3648378849029541","0.3648378849029541","0.3648378849029541"
"223","0.32262352108955383","0.32262352108955383","0.32262352108955383"
"224","-2.2835891246795654","-2.2835891246795654","-2.2835891246795654"
"225","1.8951977491378784","1.8951977491378784","1.8951977491378784"
"226","0.10731567442417145","0.10731567442417145","0.10731567442417145"
"227","0.05074773356318474","0.05074773356318474","0.05074773356318474"
"228","0.2372555285692215","0.2372555285692215","0.2372555285692215"
"229","0.5916233658790588","0.5916233658790588","0.5916233658790588"
"230","0.07247427850961685","0.07247427850961685","0.07247427850961685"
"231","1.2890164852142334","1.2890164852142334","1.2890164852142334"
"232","-0.7785850763320923","-0.7785850763320923","-0.7785850763320923"
"233","-0.1588326096534729","-0.1588326096534729","-0.1588326096534729"
"234","0.39317548274993896","0.39317548274993896","0.39317548274993896"
"235","0.10879231989383698","0.10879231989383698","0.10879231989383698"
"236","-0.5281786918640137","-0.5281786918640137","-0.5281786918640137"
"237","-0.4455162584781647","-0.4455162584781647","-0.4455162584781647"
"238","-0.510146975517273","-0.510146975517273","-0.510146975517273"
"239","-0.3225078284740448","-0.3225078284740448","-0.3225078284740448"
"240","0.7922434210777283","0.7922434210777283","0.7922434210777283"
"241","0.2923072874546051","0.2923072874546051","0.2923072874546051"
"242","0.43354886770248413","0.43354886770248413","0.43354886770248413"
"243","0.20279742777347565","0.20279742777347565","0.20279742777347565"
"244","-0.04327031970024109","-0.04327031970024109","-0.04327031970024109"
"245","-0.02620747685432434","-0.02620747685432434","-0.02620747685432434"
"246","1.5217578411102295","1.5217578411102295","1.5217578411102295"
"247","-0.7380930185317993","-0.7380930185317993","-0.7380930185317993"
"248","-0.6357684135437012","-0.6357684135437012","-0.6357684135437012"
